,activityID,sourceLocation,latitude,longitude,halfAngle,speed,type,note
23,2010-10-06T07:24:00-CME-001,,20.0,-10.0,30.0,360.0,S,"real-time detecting instruments unknown

http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=lasc2rdf&img2=lasc3rdf&stime=20101005_2200&etime=20101006_2300"
24,2010-10-07T09:36:00-CME-001,,41.0,76.0,32.0,515.0,C,"http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=lasc2rdf&img2=lasc3rdf&stime=20101006_2200&etime=20101007_2300

real-time detecting instruments unknown"
25,2010-10-11T00:00:00-CME-001,,-1.0,-13.0,35.0,350.0,S,
26,2010-10-14T17:48:00-CME-001,,19.0,27.0,28.0,310.0,S,"real-time detecting instruments unknown

http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=lasc2rdf&img2=lasc3rdf&stime=20101014_1800&etime=20101015_2300"
27,2010-10-17T08:36:00-CME-001,,32.0,-144.0,30.0,340.0,S,"real-time detecting instruments unknown


http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=lasc2rdf&img2=lasc3rdf&stime=20101016_1800&etime=20101017_2300"
28,2010-10-22T01:25:00-CME-001,,45.0,10.0,27.0,400.0,S,"real-time detecting instruments unknown

http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=lasc2rdf&img2=lasc3rdf&stime=20101021_1800&etime=20101022_2300"
29,2010-10-26T06:36:00-CME-001,,-13.0,49.0,43.0,500.0,C,real-time detecting instruments unknown
30,2010-10-30T20:00:00-CME-001,,-11.0,140.0,30.0,430.0,S,real-time detecting instruments unknown
31,2010-11-03T15:00:00-CME-001,,-10.0,-88.0,30.0,260.0,S,real-time detecting instruments unknown
32,2010-11-08T21:08:00-CME-001,,25.0,-72.0,20.0,600.0,C,real-time detecting instruments unknown
33,2010-11-11T17:00:00-CME-001,S22E03,-22.0,-7.0,25.0,877.0,C,
34,2010-11-25T15:12:00-CME-001,,-25.0,140.0,28.0,330.0,S,
35,2010-11-26T07:30:00-CME-001,,-30.0,-151.0,28.0,576.0,C,
36,2010-12-05T01:00:00-CME-001,,-5.0,106.0,30.0,740.0,C,
37,2010-12-06T18:30:00-CME-001,,-35.0,-63.0,37.0,630.0,C,
38,2010-12-07T09:24:00-CME-001,,5.0,60.0,28.0,350.0,S,real-time detecting instruments unknown
39,2010-12-12T05:00:00-CME-001,,-10.0,50.0,38.0,750.0,C,
40,2010-12-12T07:00:00-CME-001,,44.0,-24.0,21.0,400.0,S,
41,2010-12-16T09:12:00-CME-001,,42.0,45.0,15.0,480.0,S,real-time detecting instruments unknown
42,2010-12-23T05:24:00-CME-001,,-13.0,30.0,32.0,305.0,S,realtime detecting instruments unknown http://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=lasc2rdf&img2=lasc3rdf&stime=20101223_0000&etime=20101223_1800
43,2010-12-24T05:48:00-CME-001,,3.0,73.0,28.0,500.0,C,real-time detecting instruments unknown
44,2011-01-02T18:00:00-CME-001,,2.0,119.0,35.0,300.0,S,real-time detecting instruments unknown
45,2011-01-08T05:48:00-CME-001,,-15.0,-64.0,20.0,350.0,S,real-time detecting instruments unknown
46,2011-01-09T19:24:00-CME-001,,46.0,38.0,25.0,330.0,S,real-time detecting instruments unknown
47,2011-01-12T10:00:00-CME-001,,-13.0,125.0,35.0,650.0,C,
48,2011-01-13T09:00:00-CME-001,,16.0,-125.0,42.0,680.0,C,
49,2011-01-14T03:00:00-CME-001,,12.0,-101.0,39.0,650.0,C,
50,2011-01-16T14:12:00-CME-001,,25.0,-80.0,39.0,350.0,S,real-time detecting instruments unknown
51,2011-01-23T01:00:00-CME-001,,23.0,117.0,35.0,564.0,C,
52,2011-01-24T03:00:00-CME-001,,-7.0,40.0,25.0,510.0,C,
53,2011-01-28T01:25:00-CME-001,,36.0,123.0,27.0,380.0,S,real-time detecting instruments unknown
54,2011-02-15T02:25:00-CME-001,,-20.0,15.0,35.0,920.0,C,
55,2011-02-16T02:36:00-CME-001,,30.0,-40.0,30.0,560.0,C,real-time detecting instruments unknown
56,2011-02-24T08:00:00-CME-001,,-18.0,-100.0,22.0,900.0,C,
57,2011-02-26T00:00:00-CME-001,,40.0,110.0,30.0,580.0,C,real-time detecting instruments unknown
58,2011-03-03T06:24:00-CME-001,,-23.0,17.0,30.0,400.0,S,real-time detecting instruments unknown
59,2011-03-03T21:24:00-CME-001,,13.0,-64.0,40.0,540.0,C,real-time detecting instruments unknown
60,2011-03-04T05:36:00-CME-001,,10.0,-66.0,25.0,400.0,S,real-time detecting instruments unknown
61,2011-03-07T14:40:00-CME-001,N11E21,15.0,-13.0,35.0,710.0,C,
62,2011-03-07T20:12:00-CME-001,N30W48,17.0,50.0,45.0,1980.0,O,
63,2011-03-08T05:00:00-CME-001,,-8.0,-64.0,38.0,840.0,C,
64,2011-03-08T20:50:00-CME-001,,-40.0,81.0,35.0,550.0,C,
65,2011-03-12T02:00:00-CME-001,,-22.0,139.0,31.0,700.0,C,
66,2011-03-14T07:24:00-CME-001,,32.0,-44.0,38.0,360.0,S,real-time detecting instruments unknown
67,2011-03-16T20:18:00-CME-001,,17.0,75.0,37.0,690.0,C,
68,2011-03-17T13:09:00-CME-001,,-15.0,-150.0,30.0,900.0,C,
69,2011-03-21T02:54:00-CME-001,,20.0,130.0,70.0,1000.0,O,
70,2011-03-26T06:24:00-CME-001,,7.0,-125.0,38.0,1005.0,O,
71,2011-03-27T05:30:00-CME-001,,18.0,-120.0,20.0,990.0,C,
72,2011-03-28T15:48:00-CME-001,,35.0,-140.0,30.0,500.0,C,real-time detecting instruments unknown
73,2011-03-29T20:36:00-CME-001,,6.0,-115.0,66.0,1320.0,O,
74,2011-04-04T03:24:00-CME-001,,15.0,-110.0,26.0,730.0,C,
75,2011-04-04T04:09:00-CME-001,,8.0,60.0,22.0,950.0,C,
76,2011-04-07T06:12:00-CME-001,,-5.0,-20.0,38.0,550.0,C,
77,2011-04-07T12:20:00-CME-001,,-37.0,140.0,39.0,990.0,C,
78,2011-04-07T20:24:00-CME-001,,-1.0,139.0,33.0,580.0,C,
79,2011-04-10T03:12:00-CME-001,,50.0,-70.0,20.0,450.0,S,
80,2011-04-11T23:05:00-CME-001,,20.0,60.0,35.0,550.0,C,
81,2011-04-17T01:25:00-CME-001,,37.0,-15.0,45.0,300.0,S,
82,2011-04-17T15:54:00-CME-001,,9.0,155.0,30.0,1355.0,O,
83,2011-04-24T21:36:00-CME-001,,9.0,-131.0,25.0,455.0,S,
84,2011-04-27T02:48:00-CME-001,,25.0,-57.0,20.0,950.0,C,
85,2011-04-27T07:48:00-CME-001,,35.0,150.0,30.0,640.0,C,
86,2011-04-29T20:48:00-CME-001,,-5.0,-105.0,23.0,270.0,S,
87,2011-05-01T14:24:00-CME-001,,18.0,-65.0,32.0,580.0,C,
88,2011-05-03T15:54:00-CME-001,,15.0,40.0,31.0,620.0,C,
89,2011-05-06T09:25:00-CME-001,,22.0,-165.0,69.0,850.0,C,
90,2011-05-09T21:00:00-CME-001,,21.0,-68.0,58.0,1300.0,O,
91,2011-05-11T02:48:00-CME-001,,5.0,50.0,33.0,350.0,S,
92,2011-05-18T18:54:00-CME-001,,-15.0,86.0,25.0,760.0,C,
93,2011-05-19T04:36:00-CME-001,,20.0,36.0,20.0,611.0,C,
94,2011-05-24T23:54:00-CME-001,,14.0,117.0,45.0,610.0,C,
95,2011-05-29T11:30:00-CME-001,,-5.0,-55.0,38.0,850.0,C,
96,2011-05-29T21:30:00-CME-001,,-5.0,-55.0,40.0,915.0,C,
97,2011-06-02T07:40:00-CME-001,,-5.0,-30.0,30.0,950.0,C,
98,2011-06-04T07:09:00-CME-001,,25.0,117.0,40.0,1050.0,O,
99,2011-06-04T22:09:00-CME-001,,16.0,140.0,60.0,2500.0,R,
100,2011-06-05T06:24:00-CME-001,,35.0,-54.0,50.0,760.0,C,
101,2011-06-06T08:54:00-CME-001,,-45.0,101.0,35.0,750.0,C,
102,2011-06-07T06:50:00-CME-001,,-25.0,52.0,46.0,1400.0,O,
103,2011-06-07T19:10:00-CME-001,,15.0,158.0,60.0,1500.0,O,
104,2011-06-08T18:00:00-CME-001,,34.0,144.0,40.0,320.0,S,
105,2011-06-13T04:40:00-CME-001,,-15.0,-160.0,43.0,830.0,C,
106,2011-06-14T08:10:00-CME-001,,5.0,-45.0,43.0,830.0,C,
107,2011-06-19T16:48:00-CME-001,,-16.0,-50.0,24.0,583.0,C,
108,2011-06-20T18:00:00-CME-001,,10.0,-145.0,30.0,560.0,C,
109,2011-06-21T03:09:00-CME-001,,5.0,-7.0,40.0,1000.0,O,
110,2011-06-23T12:39:00-CME-001,,2.0,-40.0,35.0,350.0,S,
111,2011-06-28T18:09:00-CME-001,,42.0,-116.0,30.0,330.0,S,
112,2011-06-29T01:25:00-CME-001,,-20.0,60.0,25.0,490.0,S,
113,2011-07-09T00:54:00-CME-001,,-25.0,-30.0,33.0,850.0,C,
114,2011-07-09T17:42:00-CME-001,,20.0,112.0,24.0,838.0,C,
115,2011-07-21T23:18:00-CME-001,,-20.0,-131.0,26.0,608.0,C,
116,2011-07-23T12:48:00-CME-001,,-4.0,-122.0,28.0,640.0,C,
117,2011-07-24T17:39:00-CME-001,,45.0,50.0,32.0,320.0,S,
118,2011-07-24T20:18:00-CME-001,,-8.0,170.0,43.0,660.0,C,
119,2011-07-27T06:24:00-CME-001,,32.0,-33.0,39.0,616.0,C,
120,2011-07-28T17:54:00-CME-001,,-29.0,150.0,34.0,440.0,S,
121,2011-08-02T06:40:00-CME-001,N17W12,4.0,15.0,35.0,900.0,C,
122,2011-08-03T13:55:00-CME-001,N17W29,15.0,30.0,44.0,1320.0,O,
123,2011-08-04T04:10:00-CME-001,N16W38,14.0,40.0,60.0,1950.0,O,
124,2011-08-06T13:00:00-CME-001,,-15.0,60.0,32.0,430.0,S,
125,2011-08-08T18:00:00-CME-001,,0.0,60.0,20.0,850.0,C,
126,2011-08-09T08:30:00-CME-001,,-12.0,62.0,20.0,1175.0,O,
127,2011-08-11T11:06:00-CME-001,,-3.0,77.0,40.0,600.0,C,
128,2011-08-12T10:00:00-CME-001,,39.0,-30.0,35.0,410.0,S,
129,2011-08-13T09:00:00-CME-001,,-15.0,168.0,18.0,300.0,S,
130,2011-08-13T10:36:00-CME-001,,22.0,141.0,30.0,800.0,C,
131,2011-08-16T08:54:00-CME-001,,24.0,143.0,30.0,992.0,C,
132,2011-08-17T03:24:00-CME-001,,-25.0,-56.0,25.0,595.0,C,
133,2011-08-17T04:39:00-CME-001,,0.0,0.0,40.0,1000.0,O,
134,2011-08-31T23:39:00-CME-001,,20.0,64.0,15.0,260.0,S,
135,2011-09-02T06:30:00-CME-001,,-18.0,-32.0,25.0,390.0,S,
136,2011-09-03T04:24:00-CME-001,,16.0,150.0,30.0,360.0,S,
137,2011-09-05T02:00:00-CME-001,,36.0,74.0,40.0,606.0,C,
138,2011-09-06T02:09:00-CME-001,,24.0,15.0,25.0,300.0,S,
139,2011-09-06T05:54:00-CME-001,,30.0,100.0,25.0,670.0,C,
140,2011-09-06T22:40:00-CME-001,,20.0,20.0,30.0,650.0,C,
141,2011-09-07T19:00:00-CME-001,,16.0,-148.0,45.0,632.0,C,
142,2011-09-07T20:12:00-CME-001,,43.0,120.0,23.0,621.0,C,
143,2011-09-07T23:24:00-CME-001,N15W31,28.0,40.0,33.0,750.0,C,
144,2011-09-08T23:09:00-CME-001,,35.0,130.0,40.0,1040.0,O,
145,2011-09-08T23:09:00-CME-002,,-3.0,40.0,30.0,420.0,S,
146,2011-09-10T03:54:00-CME-001,,49.0,17.0,29.0,603.0,C,
147,2011-09-10T10:24:00-CME-001,,14.0,64.0,42.0,899.0,C,
148,2011-09-11T06:12:00-CME-001,,13.0,-121.0,26.0,713.0,C,
149,2011-09-13T12:48:00-CME-001,,49.0,96.0,45.0,680.0,C,
150,2011-09-14T01:54:00-CME-001,,21.0,38.0,46.0,600.0,C,
151,2011-09-14T22:09:00-CME-001,,-12.0,46.0,24.0,520.0,C,
152,2011-09-17T00:00:00-CME-001,,25.0,58.0,25.0,630.0,C,
153,2011-09-19T02:09:00-CME-001,,21.0,-126.0,40.0,355.0,S,
154,2011-09-19T06:54:00-CME-001,,22.0,-48.0,56.0,720.0,C,
155,2011-09-19T07:24:00-CME-001,,14.0,149.0,30.0,640.0,C,
156,2011-09-19T10:24:00-CME-001,,20.0,-65.0,30.0,620.0,C,
157,2011-09-19T17:06:00-CME-001,,26.0,-109.0,32.0,458.0,S,
158,2011-09-21T22:24:00-CME-001,N24W86,5.0,125.0,60.0,1500.0,O,
159,2011-09-22T11:24:00-CME-001,N09E89,10.0,-90.0,70.0,1000.0,O,
160,2011-09-22T14:10:00-CME-001,N13E61,5.0,-90.0,70.0,1150.0,O,
161,2011-09-23T22:39:00-CME-001,,33.0,-50.0,24.0,637.0,C,
162,2011-09-24T10:24:00-CME-001,,-9.0,-50.0,20.0,634.0,C,
163,2011-09-24T13:09:00-CME-001,,12.0,-45.0,50.0,1507.0,O,
164,2011-09-24T22:00:00-CME-001,,35.0,-25.0,35.0,700.0,C,
165,2011-09-25T01:54:00-CME-001,,-30.0,50.0,20.0,500.0,C,
166,2011-09-25T03:39:00-CME-001,,-19.0,52.0,30.0,681.0,C,
167,2011-09-28T16:24:00-CME-001,,-5.0,75.0,30.0,400.0,S,
168,2011-09-29T18:54:00-CME-001,,27.0,-156.0,34.0,540.0,C,
169,2011-09-29T19:39:00-CME-001,,-26.0,139.0,40.0,650.0,C,
170,2011-09-30T19:54:00-CME-001,,0.0,-120.0,45.0,1500.0,O,
171,2011-10-01T09:54:00-CME-001,,38.0,55.0,23.0,330.0,S,The first one comes from AR1302 and goes to high latitudes in EUV (08:55-09:22Z).
172,2011-10-01T10:24:00-CME-001,,1.0,-4.0,25.0,335.0,S,"The second one comes from AR1305 with dimming below the region in EUV (09:19-10:10Z), more equatorial."
173,2011-10-02T01:54:00-CME-001,,10.0,-6.0,28.0,500.0,C,
174,2011-10-04T13:10:00-CME-001,,35.0,-155.0,50.0,1370.0,O,
175,2011-10-05T18:54:00-CME-001,,-33.0,-30.0,23.0,350.0,S,
176,2011-10-05T19:09:00-CME-001,,-5.0,44.0,30.0,450.0,S,
177,2011-10-13T02:32:00-CME-001,,40.0,-110.0,36.0,330.0,S,
178,2011-10-13T03:17:00-CME-001,,28.0,142.0,33.0,509.0,C,
179,2011-10-14T09:12:00-CME-001,,41.0,-163.0,34.0,460.0,S,
180,2011-10-14T12:24:00-CME-001,,4.0,-133.0,54.0,700.0,C,
181,2011-10-14T21:09:00-CME-001,,30.0,-130.0,30.0,650.0,C,
182,2011-10-15T06:24:00-CME-001,,-9.0,-160.0,20.0,544.0,C,
183,2011-10-15T09:18:00-CME-001,,20.0,-90.0,20.0,543.0,C,
184,2011-10-16T16:48:00-CME-001,,30.0,60.0,25.0,537.0,C,
185,2011-10-18T09:12:00-CME-001,,-36.0,105.0,33.0,380.0,S,
186,2011-10-20T03:54:00-CME-001,,28.0,127.0,36.0,340.0,S,
187,2011-10-21T09:24:00-CME-001,,28.0,152.0,30.0,374.0,S,
188,2011-10-21T13:54:00-CME-001,,-25.0,59.0,29.0,276.0,S,
189,2011-10-21T21:54:00-CME-001,,70.0,-40.0,25.0,294.0,S,
190,2011-10-22T01:36:00-CME-001,,50.0,25.0,46.0,590.0,C,
191,2011-10-22T11:20:00-CME-001,,52.0,90.0,55.0,990.0,C,
192,2011-10-25T07:12:00-CME-001,,-4.0,-75.0,25.0,380.0,S,
193,2011-10-26T10:24:00-CME-001,,10.0,31.0,37.0,470.0,S,
194,2011-10-27T12:24:00-CME-001,,23.0,-35.0,25.0,730.0,C,
195,2011-10-28T01:09:00-CME-001,,-33.0,130.0,30.0,320.0,S,
196,2011-10-29T16:55:00-CME-001,,35.0,-128.0,45.0,350.0,S,
197,2011-11-01T16:54:00-CME-001,,29.0,-53.0,20.0,500.0,C,
198,2011-11-02T20:39:00-CME-001,,23.0,-65.0,37.0,400.0,S,
199,2011-11-03T22:39:00-CME-001,,-7.0,-160.0,65.0,1100.0,O,
200,2011-11-04T03:24:00-CME-001,,0.0,-130.0,60.0,560.0,C,
201,2011-11-05T01:25:00-CME-001,,45.0,60.0,30.0,330.0,S,
202,2011-11-08T00:00:00-CME-001,,34.0,47.0,26.0,680.0,C,
203,2011-11-09T09:09:00-CME-001,,-35.0,-44.0,35.0,560.0,C,
204,2011-11-09T13:39:00-CME-001,,24.0,-35.0,38.0,1150.0,O,
205,2011-11-09T18:36:00-CME-001,,-24.0,63.0,20.0,299.0,S,
206,2011-11-10T04:39:00-CME-001,,19.0,119.0,35.0,550.0,C,
208,2011-11-11T07:09:00-CME-001,,-30.0,58.0,30.0,800.0,C,
209,2011-11-12T18:36:00-CME-001,,-3.0,-110.0,70.0,695.0,C,
210,2011-11-13T18:36:00-CME-001,,15.0,176.0,60.0,888.0,C,
211,2011-11-14T19:09:00-CME-001,,62.0,-56.0,30.0,675.0,C,
212,2011-11-14T20:39:00-CME-001,,-35.0,10.0,30.0,344.0,S,
213,2011-11-15T05:36:00-CME-001,,3.0,-142.0,42.0,766.0,C,
214,2011-11-15T09:48:00-CME-001,,62.0,58.0,24.0,444.0,S,
215,2011-11-15T19:24:00-CME-001,,-22.0,-80.0,27.0,379.0,S,
216,2011-11-16T15:24:00-CME-001,,25.0,90.0,30.0,269.0,S,
217,2011-11-17T17:24:00-CME-001,,-15.0,41.0,25.0,385.0,S,
218,2011-11-17T20:36:00-CME-001,,27.0,-118.0,49.0,773.0,C,
219,2011-11-18T00:00:00-CME-001,,40.0,98.0,20.0,465.0,S,
220,2011-11-18T02:48:00-CME-001,,45.0,98.0,35.0,674.0,C,
221,2011-11-20T16:09:00-CME-001,,5.0,65.0,52.0,430.0,S,
222,2011-11-20T22:54:00-CME-001,,22.0,-165.0,26.0,730.0,C,
223,2011-11-22T03:48:00-CME-001,,47.0,120.0,22.0,136.0,S,
224,2011-11-22T06:36:00-CME-001,,3.0,-47.0,34.0,778.0,C,
225,2011-11-22T22:24:00-CME-001,,40.0,61.0,39.0,718.0,C,
226,2011-11-25T07:18:00-CME-001,,38.0,-105.0,18.0,330.0,S,
227,2011-11-26T07:12:00-CME-001,,23.0,45.0,72.0,930.0,C,
228,2011-11-27T10:36:00-CME-001,,-7.0,90.0,30.0,550.0,C,
229,2011-11-28T07:39:00-CME-001,,25.0,-50.0,35.0,454.0,S,
230,2011-11-29T23:54:00-CME-001,,-40.0,-160.0,40.0,560.0,C,
231,2011-11-30T23:54:00-CME-001,,-36.0,-150.0,40.0,250.0,S,
232,2011-11-30T23:54:00-CME-002,,15.0,40.0,30.0,525.0,C,
233,2011-12-01T10:30:00-CME-001,,17.0,80.0,25.0,350.0,S,
234,2011-12-02T20:54:00-CME-001,,52.0,80.0,37.0,500.0,C,
235,2011-12-03T07:48:00-CME-001,,-21.0,134.0,40.0,512.0,C,
236,2011-12-03T11:24:00-CME-001,,30.0,97.0,30.0,622.0,C,
237,2011-12-03T15:54:00-CME-001,,65.0,-175.0,20.0,470.0,S,
238,2011-12-04T14:00:00-CME-001,,-18.0,160.0,25.0,270.0,S,
239,2011-12-04T20:39:00-CME-001,,43.0,72.0,46.0,520.0,C,
240,2011-12-06T10:12:00-CME-001,,24.0,146.0,44.0,669.0,C,
241,2011-12-07T05:36:00-CME-001,,32.0,169.0,39.0,607.0,C,
242,2011-12-07T09:39:00-CME-001,,20.0,169.0,44.0,724.0,C,
243,2011-12-07T21:54:00-CME-001,,4.0,-160.0,17.0,396.0,S,
244,2011-12-08T11:12:00-CME-001,,-40.0,-81.0,26.0,419.0,S,
245,2011-12-09T04:28:00-CME-001,,17.0,-66.0,27.0,292.0,S,
246,2011-12-09T06:36:00-CME-001,,-30.0,149.0,26.0,808.0,C,
247,2011-12-09T12:09:00-CME-001,,-1.0,-158.0,32.0,436.0,S,
248,2011-12-11T08:48:00-CME-001,,21.0,-34.0,35.0,500.0,C,
249,2011-12-11T10:09:00-CME-001,,21.0,-31.0,25.0,445.0,S,
250,2011-12-13T02:12:00-CME-001,,-30.0,53.0,20.0,468.0,S,
251,2011-12-13T23:24:00-CME-001,,51.0,112.0,30.0,360.0,S,
252,2011-12-14T03:56:00-CME-001,,-9.0,94.0,25.0,817.0,C,
253,2011-12-14T11:39:00-CME-001,,-21.0,45.0,36.0,407.0,S,
254,2011-12-14T15:24:00-CME-001,,20.0,-144.0,32.0,554.0,C,
255,2011-12-15T04:39:00-CME-001,,-23.0,57.0,25.0,374.0,S,
256,2011-12-17T05:12:00-CME-001,,66.0,80.0,33.0,521.0,C,
257,2011-12-17T11:00:00-CME-001,,47.0,156.0,40.0,1157.0,O,
258,2011-12-21T03:12:00-CME-001,,-28.0,-137.0,28.0,800.0,C,
259,2011-12-21T03:24:00-CME-001,,-40.0,-137.0,30.0,1300.0,O,
260,2011-12-23T02:48:00-CME-001,,17.0,145.0,30.0,330.0,S,
261,2011-12-23T04:17:00-CME-001,,-17.0,-128.0,20.0,572.0,C,
262,2011-12-23T07:24:00-CME-001,,4.0,-85.0,20.0,275.0,S,
263,2011-12-24T00:54:00-CME-001,,17.0,-70.0,40.0,520.0,C,
264,2011-12-24T09:18:00-CME-001,,-15.0,-75.0,25.0,600.0,C,
265,2011-12-24T14:30:00-CME-001,,2.0,48.0,30.0,500.0,C,
266,2011-12-25T01:24:00-CME-001,,35.0,0.0,30.0,480.0,S,
267,2011-12-25T19:24:00-CME-001,,-10.0,20.0,35.0,650.0,C,
268,2011-12-25T20:54:00-CME-001,,-8.0,40.0,36.0,770.0,C,
269,2011-12-26T11:54:00-CME-001,,21.0,0.0,30.0,721.0,C,
270,2011-12-27T04:54:00-CME-001,,-3.0,-40.0,25.0,778.0,C,
271,2011-12-27T13:39:00-CME-001,,-10.0,29.0,20.0,353.0,S,
272,2011-12-29T17:06:00-CME-001,,20.0,88.0,30.0,400.0,S,
273,2011-12-30T19:39:00-CME-001,,60.0,-169.0,33.0,450.0,S,
274,2011-12-30T21:24:00-CME-001,,-15.0,130.0,25.0,432.0,S,
275,2012-01-01T13:36:00-CME-001,,8.0,142.0,45.0,820.0,C,
276,2012-01-02T02:12:00-CME-001,,-18.0,152.0,51.0,683.0,C,
277,2012-01-02T15:24:00-CME-001,N170E36,-17.0,99.0,50.0,1152.0,O,
278,2012-01-03T11:24:00-CME-001,,18.0,-61.0,34.0,318.0,S,
279,2012-01-04T02:24:00-CME-001,,33.0,174.0,43.0,320.0,S,
280,2012-01-05T08:39:00-CME-001,,27.0,16.0,56.0,957.0,C,
281,2012-01-05T12:39:00-CME-001,S40W50,50.0,-4.0,35.0,949.0,C,
282,2012-01-06T21:25:00-CME-001,,42.0,-130.0,44.0,463.0,S,
283,2012-01-08T02:12:00-CME-001,,-38.0,-135.0,36.0,554.0,C,
284,2012-01-12T04:00:00-CME-001,,5.0,-130.0,15.0,315.0,S,
285,2012-01-12T08:24:00-CME-001,,31.0,-102.0,45.0,710.0,C,
286,2012-01-14T05:25:00-CME-001,,16.0,-40.0,20.0,255.0,S,
287,2012-01-14T23:25:00-CME-001,,-15.0,-58.0,20.0,290.0,S,
288,2012-01-16T01:30:00-CME-001,,-17.0,-92.0,18.0,412.0,S,
289,2012-01-16T03:42:00-CME-001,S57W28,28.0,-57.0,47.0,990.0,C,
290,2012-01-18T13:25:00-CME-001,,-23.0,22.0,30.0,520.0,C,
291,2012-01-19T13:25:00-CME-001,,48.0,23.0,27.0,372.0,S,
292,2012-01-19T15:10:00-CME-001,S21W46,46.0,-21.0,69.0,1020.0,O,
